versione,braccio,modello,seed,parola,esito,scambi_run
v3,base,base,9,ZIBO,GIUSTA,72
v3,base,base,9,ZUMU,GIUSTA,72
v3,base,base,10,GUMO,irrisolta,72
v3,base,base,10,NUR,irrisolta,72
v3,base,base,10,TAK,GIUSTA,72
v3,base,base,10,TIN,GIUSTA,72
v3,base,base,10,ZAKA,GIUSTA,72
v3,base,base,10,ZEFU,GIUSTA,72
v3,base,base,10,ZIBO,GIUSTA,72
v3,base,base,10,ZUMU,GIUSTA,72
v3,base,base,11,GUMO,irrisolta,72
v3,base,base,11,NUR,irrisolta,72
v3,base,base,11,TAK,GIUSTA,72
v3,base,base,11,TIN,GIUSTA,72
v3,base,base,11,ZAKA,GIUSTA,72
v3,base,base,11,ZEFU,GIUSTA,72
v3,base,base,11,ZIBO,GIUSTA,72
v3,base,base,11,ZUMU,GIUSTA,72
v3,base,base,12,GUMO,irrisolta,72
v3,base,base,12,NUR,irrisolta,72
v3,base,base,12,TAK,GIUSTA,72
v3,base,base,12,TIN,GIUSTA,72
v3,base,base,12,ZAKA,GIUSTA,72
v3,base,base,12,ZEFU,GIUSTA,72
v3,base,base,12,ZIBO,GIUSTA,72
v3,base,base,12,ZUMU,GIUSTA,72
v3,base,base,13,GUMO,irrisolta,72
v3,base,base,13,NUR,irrisolta,72
v3,base,base,13,TAK,GIUSTA,72
v3,base,base,13,TIN,GIUSTA,72
v3,base,base,13,ZAKA,GIUSTA,72
v3,base,base,13,ZEFU,GIUSTA,72
v3,base,base,13,ZIBO,GIUSTA,72
v3,base,base,13,ZUMU,GIUSTA,72
v3,base,base,14,GUMO,irrisolta,72
v3,base,base,14,NUR,irrisolta,72
v3,base,base,14,TAK,GIUSTA,72
v3,base,base,14,TIN,GIUSTA,72
v3,base,base,14,ZAKA,GIUSTA,72
v3,base,base,14,ZEFU,GIUSTA,72
v3,base,base,14,ZIBO,GIUSTA,72
v3,base,base,14,ZUMU,GIUSTA,72
v3,base,base,15,GUMO,irrisolta,72
v3,base,base,15,NUR,irrisolta,72
v3,base,base,15,TAK,GIUSTA,72
v3,base,base,15,TIN,GIUSTA,72
v3,base,base,15,ZAKA,GIUSTA,72
v3,base,base,15,ZEFU,GIUSTA,72
v3,base,base,15,ZIBO,GIUSTA,72
v3,base,base,15,ZUMU,GIUSTA,72
v3,base,base,16,GUMO,irrisolta,72
v3,base,base,16,NUR,irrisolta,72
v3,base,base,16,TAK,GIUSTA,72
v3,base,base,16,TIN,GIUSTA,72
v3,base,base,16,ZAKA,GIUSTA,72
v3,base,base,16,ZEFU,GIUSTA,72
v3,base,base,16,ZIBO,GIUSTA,72
v3,base,base,16,ZUMU,GIUSTA,72
v3,base,base,17,GUMO,irrisolta,72
v3,base,base,17,NUR,irrisolta,72
v3,base,base,17,TAK,GIUSTA,72
v3,base,base,17,TIN,GIUSTA,72
v3,base,base,17,ZAKA,GIUSTA,72
v3,base,base,17,ZEFU,GIUSTA,72
v3,base,base,17,ZIBO,GIUSTA,72
v3,base,base,17,ZUMU,GIUSTA,72
v3,base,base,18,GUMO,irrisolta,72
v3,base,base,18,NUR,irrisolta,72
v3,base,base,18,TAK,GIUSTA,72
v3,base,base,18,TIN,GIUSTA,72
v3,base,base,18,ZAKA,GIUSTA,72
v3,base,base,18,ZEFU,GIUSTA,72
v3,base,base,18,ZIBO,GIUSTA,72
v3,base,base,18,ZUMU,GIUSTA,72
v3,base,base,19,GUMO,irrisolta,72
v3,base,base,19,NUR,irrisolta,72
v3,base,base,19,TAK,GIUSTA,72
v3,base,base,19,TIN,GIUSTA,72
v3,base,base,19,ZAKA,GIUSTA,72
v3,base,base,19,ZEFU,GIUSTA,72
v3,base,base,19,ZIBO,GIUSTA,72
v3,base,base,19,ZUMU,GIUSTA,72
v3,base,base,20,GUMO,irrisolta,72
v3,base,base,20,NUR,irrisolta,72
v3,base,base,20,TAK,GIUSTA,72
v3,base,base,20,TIN,GIUSTA,72
v3,base,base,20,ZAKA,GIUSTA,72
v3,base,base,20,ZEFU,GIUSTA,72
v3,base,base,20,ZIBO,GIUSTA,72
v3,base,base,20,ZUMU,GIUSTA,72
v3,base,base,21,GUMO,irrisolta,72
v3,base,base,21,NUR,irrisolta,72
v3,base,base,21,TAK,GIUSTA,72
v3,base,base,21,TIN,GIUSTA,72
v3,base,base,21,ZAKA,GIUSTA,72
v3,base,base,21,ZEFU,GIUSTA,72
v3,base,base,21,ZIBO,GIUSTA,72
v3,base,base,21,ZUMU,GIUSTA,72
v3,base,base,22,GUMO,irrisolta,72
v3,base,base,22,NUR,irrisolta,72
v3,base,base,22,TAK,GIUSTA,72
v3,base,base,22,TIN,GIUSTA,72
v3,base,base,22,ZAKA,GIUSTA,72
v3,base,base,22,ZEFU,GIUSTA,72
v3,base,base,22,ZIBO,GIUSTA,72
v3,base,base,22,ZUMU,GIUSTA,72
v3,base,base,23,GUMO,irrisolta,72
v3,base,base,23,NUR,irrisolta,72
v3,base,base,23,TAK,GIUSTA,72
v3,base,base,23,TIN,GIUSTA,72
v3,base,base,23,ZAKA,GIUSTA,72
v3,base,base,23,ZEFU,GIUSTA,72
v3,base,base,23,ZIBO,GIUSTA,72
v3,base,base,23,ZUMU,GIUSTA,72
v3,base,base,24,GUMO,irrisolta,72
v3,base,base,24,NUR,irrisolta,72
v3,base,base,24,TAK,GIUSTA,72
v3,base,base,24,TIN,GIUSTA,72
v3,base,base,24,ZAKA,GIUSTA,72
v3,base,base,24,ZEFU,GIUSTA,72
v3,base,base,24,ZIBO,GIUSTA,72
v3,base,base,24,ZUMU,GIUSTA,72
v3,base,base,25,GUMO,irrisolta,72
v3,base,base,25,NUR,irrisolta,72
v3,base,base,25,TAK,GIUSTA,72
v3,base,base,25,TIN,GIUSTA,72
v3,base,base,25,ZAKA,GIUSTA,72
v3,base,base,25,ZEFU,GIUSTA,72
v3,base,base,25,ZIBO,GIUSTA,72
v3,base,base,25,ZUMU,GIUSTA,72
v3,base,base,26,GUMO,irrisolta,72
v3,base,base,26,NUR,irrisolta,72
v3,base,base,26,TAK,GIUSTA,72
v3,base,base,26,TIN,GIUSTA,72
v3,base,base,26,ZAKA,GIUSTA,72
v3,base,base,26,ZEFU,GIUSTA,72
v3,base,base,26,ZIBO,GIUSTA,72
v3,base,base,26,ZUMU,GIUSTA,72
v3,base,base,27,GUMO,irrisolta,72
v3,base,base,27,NUR,irrisolta,72
v3,base,base,27,TAK,GIUSTA,72
v3,base,base,27,TIN,GIUSTA,72
v3,base,base,27,ZAKA,GIUSTA,72
v3,base,base,27,ZEFU,GIUSTA,72
v3,base,base,27,ZIBO,GIUSTA,72
v3,base,base,27,ZUMU,GIUSTA,72
v3,base,base,28,GUMO,irrisolta,72
v3,base,base,28,NUR,irrisolta,72
v3,base,base,28,TAK,GIUSTA,72
v3,base,base,28,TIN,GIUSTA,72
v3,base,base,28,ZAKA,GIUSTA,72
v3,base,base,28,ZEFU,GIUSTA,72
v3,base,base,28,ZIBO,GIUSTA,72
v3,base,base,28,ZUMU,GIUSTA,72
v3,base,base,29,GUMO,irrisolta,72
v3,base,base,29,NUR,irrisolta,72
v3,base,base,29,TAK,GIUSTA,72
v3,base,base,29,TIN,GIUSTA,72
v3,base,base,29,ZAKA,GIUSTA,72
v3,base,base,29,ZEFU,GIUSTA,72
v3,base,base,29,ZIBO,GIUSTA,72
v3,base,base,29,ZUMU,GIUSTA,72
